complaint_text,mapped_category,urgency_label
"My car was broken into last night in the apartment basement and my entire sound system was stolen. The window was smashed, and the dashboard was damaged in the process. I noticed it was missing this morning around 8 AM.",Theft,Medium
Someone snatched my gold chain while I was walking near the central market. They were on a black motorcycle and sped away before anyone could react. This happened in broad daylight.,Theft,High
"I came home from a weekend trip to find my apartment door forced open. My jewelry, laptop, and some emergency cash are missing from my bedroom wardrobe. The place was a complete mess.",Theft,High
"While I was having coffee at a crowded cafe, someone skillfully took my wallet from my purse which was on the chair next to me. It contained all my credit cards, driver's license, and ID.",Theft,Medium
My new mobile phone was stolen from my pocket while I was traveling on a crowded city bus during peak hours. I didn't realize it was gone until I got off at my stop.,Theft,Medium
Someone entered my house through an unlocked kitchen window while my family and I were sleeping. They stole two televisions and other small electronics from the living room.,Theft,High
A package containing a new smartphone was stolen from my doorstep shortly after it was delivered. The delivery confirmation from the courier has a photo showing the package was left there at 3 PM.,Theft,Low
"My bicycle, which was secured with a heavy-duty lock to a bike rack outside my building, has been stolen. The lock was cut and left behind.",Theft,Low
I caught a young person trying to pickpocket me at the local vegetable market. They managed to get my wallet out but I grabbed their hand and they dropped it and ran away when I shouted for help.,Theft,Medium
An employee at my company has been systematically stealing office supplies like printer cartridges and stationery over the past few months. The total value is now significant.,Theft,Low
My scooter was stolen from the office parking lot sometime between 10 AM and 6 PM. It was parked in the designated two-wheeler area. I have the registration details.,Theft,Medium
Someone broke the lock on my rented storage unit and stole several boxes of valuable family heirlooms and electronics that I had stored there.,Theft,Medium
"I let a stranger who seemed to be in distress use my phone to make an urgent call, and they suddenly ran off with it down a busy street.",Theft,Medium
My wallet and gym bag were taken from my locker at the fitness center while I was working out. The locker appears to have been forced open.,Theft,Medium
"A food delivery driver marked a large order as delivered, but I never received it. The restaurant confirmed it was picked up, so I suspect the driver stole it.",Theft,Low
"I had a small gathering at my house, and after one of the guests left, I noticed my expensive watch was missing from my bedside table. I suspect they took it.",Theft,Medium
"Over the past few weeks, someone has been siphoning petrol from my motorcycle which is parked inside my gated compound at night. I have CCTV footage of the person.",Theft,Low
My laptop was stolen from my backpack in the university library while I was away from my desk for just a few minutes to get a book.,Theft,Medium
A person posing as a government official for a gas pipeline inspection entered my elderly mother's home and stole her jewelry while she was distracted in another room.,Theft,High
I found that my car's expensive alloy wheels and tires were stolen overnight while it was parked on the street right outside my house. The car was left on bricks.,Theft,Medium
I was in an auto-rickshaw stopped at a traffic signal when someone reached in through the side and snatched my handbag from my lap.,Theft,High
A significant portion of my standing crops were harvested and stolen from my field just before they were ready for the market. This will cause a huge financial loss.,Theft,Medium
"A group of people from the neighboring village have forcefully taken over a piece of my agricultural land and are now cultivating it, claiming it belongs to them.",Theft,High
My identity was stolen after my documents were lost. Now I've discovered that someone has taken out multiple credit cards and a personal loan in my name.,Theft,High
"I found that my bank account was emptied of nearly 3 lakh rupees. On checking with the bank, I realized my debit card had been skimmed at a local restaurant I visited last week.",Theft,High
I saw a person breaking into my neighbor's parked car and methodically stealing their stereo system and other valuables. I have a video of the incident.,Theft,Medium
My child's brand new bicycle was stolen from the community park while they were playing on the swings with their friends.,Theft,Low
I work as a domestic help and my employer has falsely accused me of stealing a diamond ring. They are withholding my salary and have threatened to call the police if I don't confess.,Theft,Medium
The main electricity meter for my entire apartment floor was stolen from the utility room in the building basement.,Theft,Low
"A well-dressed con artist sold me a brick painted gold, claiming it was a genuine gold bar he needed to sell urgently at a low price.",Theft,Medium
"I found a person hiding in my backyard late at night, trying to steal my expensive copper garden sculptures. They fled when my dog started barking.",Theft,Low
"My passport, visa, and other important travel documents were stolen from my locked hotel room while I was out for dinner.",Theft,High
Someone stole the catalytic converter from my car while it was parked in a public parking garage. The repair cost is very high.,Theft,Medium
"I gave my phone to a local repair shop, and the owner replaced several original parts with cheap, fake ones, and is now denying it. This is a form of theft.",Theft,Medium
"My prized cattle, including two cows and a bull, were stolen from my farm's locked enclosure during the night.",Theft,High
"I am a street vendor and my entire cart, full of fresh produce, was stolen from its usual spot overnight. This is my only source of livelihood.",Theft,Medium
Someone has been stealing the copper wiring and pipes from my house which is currently under construction. This has happened multiple times.,Theft,Medium
My checked-in luggage was stolen from the baggage claim carousel at the airport after I landed. It contained valuable personal belongings.,Theft,Medium
A person who was staying as a paying guest in my house for the last two months has suddenly disappeared with my laptop and some valuable jewelry.,Theft,High
I manage a local temple and I found that the main donation box was broken into and all the cash offerings were stolen overnight.,Theft,Low
My purebred puppy was stolen from my front yard while I was inside for a few minutes. I am extremely distressed.,Theft,Medium
Someone stole my identity and filed a fraudulent tax return in my name to claim a refund. I only found out when I tried to file my own taxes.,Theft,High
"I was selling my old gaming console online. During the in-person meeting, the supposed buyer snatched the console from my hands and ran away without paying.",Theft,Medium
The submersible water pump motor was stolen from the borewell on my agricultural property.,Theft,Low
A person I gave a ride to as a good Samaritan must have stolen my wallet which I had left on the passenger seat. I noticed it was gone after I dropped them off.,Theft,Medium
I work at a construction site and my entire set of power tools was stolen from the locked storage container.,Theft,Low
"My grandfather's antique pocket watch, a family heirloom, was stolen from a display case in our ancestral home during a family function.",Theft,High
Someone has been systematically stealing the prize-winning roses from my public garden every night.,Theft,Low
"I am a fisherman and my expensive, custom-made fishing nets were stolen from the community dock.",Theft,Medium
"A group of men stopped me on a dark, isolated street, threatened me with a sharp knife, and took my phone, wallet, and laptop bag.",Robbery,High
"Two people on a fast motorcycle pulled up beside my auto-rickshaw, showed me a gun, and forced me to give them my watch and the rings I was wearing.",Robbery,High
My family's jewelry shop was robbed at gunpoint yesterday evening just before closing time. They took all the cash from the register and several trays of gold ornaments.,Robbery,High
"I was driving my new car when another car intentionally hit me from behind. When I got out to check, the occupants of the other car, armed with iron rods, forced me out and drove away with my car.",Robbery,High
"A group of armed men entered my farmhouse late at night, tied up my entire family, and looted all our valuables, including electronics, jewelry, and cash.",Robbery,High
"I was withdrawing a large amount of cash from an ATM for a family emergency when someone came from behind, put a knife to my throat, and took all the money and my debit card.",Robbery,High
My electronics store was robbed by a group of masked men who smashed the display cases with hammers and took dozens of high-end smartphones and laptops.,Robbery,High
"The delivery truck I was driving, which was carrying a shipment of valuable pharmaceuticals, was hijacked on the highway by armed men in an SUV who stole the entire vehicle and its contents.",Robbery,High
"I was held at knifepoint in a secluded corner of a public park during my evening jog and forced to give up my laptop, backpack, and expensive running shoes.",Robbery,High
"My home was invaded by robbers who held my elderly parents at gunpoint while they ransacked the house, taking all the jewelry and cash they could find.",Robbery,High
"I was walking home late at night through a poorly lit alley when a group of men surrounded me, physically assaulted me, and took all my belongings by force.",Robbery,High
"The taxi driver I hired took a detour to a dark, isolated place. He and an accomplice who was hiding in the trunk robbed me of all my luggage, passport, and money.",Robbery,High
"I was traveling on an overnight train when a group of people entered the compartment, threatened passengers with crude weapons, and robbed everyone of their phones and valuables.",Robbery,High
My company's warehouse was broken into by armed robbers who tied up the night security guard and systematically loaded a truck with our most valuable inventory.,Robbery,High
"I was mugged in the alleyway behind my apartment building. They punched me in the stomach, and took my wallet, phone, and house keys.",Robbery,High
"While I was closing my small restaurant for the night, two men wearing helmets came in brandishing a country-made pistol and demanded all the money from the cash register.",Robbery,High
